resultid,resultdate,winner1id,loser1id,winnerset1,winnerset2,winnerset3,winnerset4,winnerset5,loserset1,loserset2,loserset3,loserset4,loserset5
10979105,1/7/2018,3867,54552,6,6,0,0,0,4,3,0,0,0
10979106,1/7/2018,3671,4348,6,6,0,0,0,3,4,0,0,0
10979108,1/7/2018,52886,4021,6,7,0,0,0,4,5,0,0,0
10979110,1/7/2018,54846,3855,4,0,0,0,0,2,0,0,0,0
10979111,1/7/2018,3534,3688,6,6,0,0,0,3,2,0,0,0
10979112,1/7/2018,4047,51330,7,7,0,0,0,6,6,0,0,0
10979113,1/7/2018,3671,3867,7,6,7,0,0,6,7,6,0,0
10979114,1/7/2018,52886,53149,7,7,0,0,0,5,6,0,0,0
10979115,1/7/2018,94283,54846,7,7,0,0,0,6,6,0,0,0
10979116,1/7/2018,4047,3534,6,7,0,0,0,2,5,0,0,0
10979273,1/7/2018,195354,9674,6,6,0,0,0,2,4,0,0,0
10979274,1/7/2018,96338,3553,6,5,7,0,0,1,7,6,0,0
10979275,1/7/2018,3725,252053,6,7,0,0,0,4,5,0,0,0
10979277,1/7/2018,49924,52598,7,6,0,0,0,6,3,0,0,0
10979279,1/7/2018,4726,4075,6,6,0,0,0,4,4,0,0,0
10979280,1/7/2018,51256,205841,3,7,6,0,0,6,6,2,0,0
10979281,1/7/2018,3680,751617,6,6,0,0,0,3,1,0,0,0
10979282,1/7/2018,3981,195354,6,7,7,0,0,7,5,5,0,0
10979283,1/7/2018,96338,3725,6,6,7,0,0,7,4,6,0,0
10979284,1/7/2018,95375,49924,6,6,0,0,0,1,4,0,0,0
10979285,1/7/2018,4726,3739,7,6,0,0,0,6,4,0,0,0
10979286,1/7/2018,3680,51256,6,6,0,0,0,4,0,0,0,0
10979287,1/7/2018,3981,96338,6,6,0,0,0,3,4,0,0,0
10979289,1/7/2018,216411,45581,6,7,0,0,0,2,6,0,0,0
10979294,1/7/2018,3610,49885,6,4,6,0,0,2,6,3,0,0
10979296,1/7/2018,251954,4125,6,6,0,0,0,2,3,0,0,0
10979299,1/7/2018,81226,970273,6,6,6,0,0,7,2,1,0,0
10979301,1/7/2018,51288,216411,6,6,0,0,0,1,3,0,0,0
10979303,1/7/2018,3484,177312,6,6,0,0,0,2,4,0,0,0
10979304,1/7/2018,3610,53378,6,7,0,0,0,4,6,0,0,0
10979305,1/7/2018,3979,251954,6,1,6,0,0,2,6,3,0,0
10979307,1/7/2018,81226,49884,6,6,0,0,0,4,4,0,0,0
10979308,1/7/2018,51288,51794,3,7,6,0,0,6,6,3,0,0
10979309,1/7/2018,74716,3484,6,4,6,0,0,0,6,4,0,0
10979310,1/7/2018,3979,3610,2,7,6,0,0,6,5,4,0,0
10979311,1/7/2018,81226,75587,7,6,0,0,0,6,3,0,0,0
10979312,1/7/2018,7479,54883,6,6,0,0,0,4,4,0,0,0
10979313,1/7/2018,802298,207050,7,6,0,0,0,5,4,0,0,0
10979314,1/7/2018,3979,4633,3,6,6,0,0,6,3,3,0,0
10979316,1/7/2018,4508,4072,7,7,0,0,0,6,6,0,0,0
10979317,1/7/2018,3533,3745,7,6,0,0,0,6,4,0,0,0
10979319,1/7/2018,5218,3623,6,6,0,0,0,1,2,0,0,0
10979320,1/7/2018,55210,3673,4,6,6,0,0,6,2,1,0,0
10979321,1/7/2018,153710,51790,6,6,0,0,0,4,4,0,0,0
10979322,1/7/2018,87175,669250,6,2,6,0,0,1,6,1,0,0
10979324,1/7/2018,4299,50992,6,6,0,0,0,3,4,0,0,0
10979325,1/7/2018,3850,81226,7,0,7,0,0,5,6,6,0,0
10979326,1/7/2018,3967,4309,6,6,0,0,0,3,2,0,0,0
10979327,1/7/2018,74716,3882,6,6,0,0,0,1,1,0,0,0
10979329,1/7/2018,3458,3979,6,6,0,0,0,3,0,0,0,0
10979330,1/7/2018,4508,3533,6,6,0,0,0,4,3,0,0,0
10979331,1/7/2018,51288,5218,6,6,0,0,0,4,4,0,0,0
10979332,1/7/2018,153710,55210,6,6,0,0,0,4,3,0,0,0
10979333,1/7/2018,87175,142094,1,6,6,0,0,6,4,1,0,0
10979334,1/7/2018,4299,3850,6,6,0,0,0,0,1,0,0,0
10979335,1/7/2018,74716,3967,6,6,0,0,0,2,2,0,0,0
10979336,1/7/2018,3458,802298,6,6,0,0,0,2,4,0,0,0
10979337,1/7/2018,4508,51288,7,6,0,0,0,6,4,0,0,0
10979338,1/7/2018,153710,87175,7,3,7,0,0,5,6,6,0,0
10979340,1/7/2018,3458,4508,6,6,0,0,0,2,3,0,0,0
10979341,1/7/2018,74716,153710,7,6,0,0,0,6,3,0,0,0
10979342,1/7/2018,3458,74716,4,6,7,0,0,6,3,5,0,0
10979364,1/7/2018,202479,806774,3,7,6,0,0,6,5,1,0,0
10979365,1/7/2018,197507,76845,6,6,0,0,0,2,4,0,0,0
10979367,1/7/2018,3518,405461,6,7,0,0,0,2,6,0,0,0
10979369,1/7/2018,83620,69297,5,6,7,0,0,7,3,5,0,0
10979371,1/7/2018,58365,3669,6,6,0,0,0,3,2,0,0,0
10979117,1/7/2018,4515,3503,7,6,0,0,0,6,3,0,0,0
10979118,1/7/2018,606930,3943,7,6,0,0,0,5,1,0,0,0
10979119,1/7/2018,94283,3476,4,7,6,0,0,6,5,4,0,0
10979120,1/7/2018,3468,217470,6,6,0,0,0,0,2,0,0,0
10979121,1/7/2018,207438,3474,6,1,7,0,0,4,6,6,0,0
10979122,1/7/2018,3993,3488,6,3,6,0,0,3,6,4,0,0
10979123,1/7/2018,52886,3960,4,7,6,0,0,6,6,4,0,0
10979124,1/7/2018,3608,4686,6,6,0,0,0,4,1,0,0,0
10979125,1/7/2018,3481,206781,6,5,7,0,0,4,7,6,0,0
10979126,1/7/2018,3671,207034,6,6,0,0,0,4,3,0,0,0
10979128,1/7/2018,4417,206806,2,7,7,0,0,6,5,5,0,0
10979129,1/7/2018,3587,3679,4,6,6,0,0,6,4,0,0,0
10979131,1/7/2018,224134,3644,6,6,0,0,0,4,3,0,0,0
10979132,1/7/2018,52341,217512,5,6,7,0,0,7,2,6,0,0
10979133,1/7/2018,4515,606930,7,6,0,0,0,5,4,0,0,0
10979134,1/7/2018,94283,3468,6,6,0,0,0,3,4,0,0,0
10979135,1/7/2018,3993,207438,6,1,6,0,0,3,6,3,0,0
10979136,1/7/2018,3608,52886,6,6,0,0,0,2,2,0,0,0
10979137,1/7/2018,3671,3481,6,7,0,0,0,4,6,0,0,0
10979138,1/7/2018,4417,4047,7,6,0,0,0,6,3,0,0,0
10979139,1/7/2018,53840,3587,6,3,6,0,0,4,6,4,0,0
10979140,1/7/2018,52341,224134,6,6,0,0,0,1,3,0,0,0
10979141,1/7/2018,4515,94283,7,6,0,0,0,5,4,0,0,0
10979142,1/7/2018,3993,3608,6,7,0,0,0,3,6,0,0,0
10979143,1/7/2018,4417,3671,6,6,0,0,0,2,3,0,0,0
10979144,1/7/2018,53840,52341,6,7,0,0,0,3,5,0,0,0
10979146,1/7/2018,53840,4417,6,4,7,0,0,2,6,6,0,0
10979147,1/7/2018,3993,53840,6,6,0,0,0,2,3,0,0,0
10979163,1/7/2018,3915,369115,3,6,7,0,0,6,3,5,0,0
10979167,1/7/2018,224389,57534,4,6,7,0,0,6,3,6,0,0
10979168,1/7/2018,34191,373773,6,6,0,0,0,2,1,0,0,0
10979169,1/7/2018,57433,3550,5,6,7,0,0,7,2,6,0,0
10979170,1/7/2018,55282,263508,6,6,0,0,0,3,3,0,0,0
10979171,1/7/2018,3915,76531,7,7,0,0,0,5,5,0,0,0
10979172,1/7/2018,52976,206794,6,3,6,0,0,2,6,4,0,0
10979173,1/7/2018,34191,224389,6,6,0,0,0,3,4,0,0,0
10979174,1/7/2018,55282,57433,6,6,0,0,0,3,2,0,0,0
10979190,1/7/2018,28718,218159,7,6,0,0,0,6,2,0,0,0
10979191,1/7/2018,3741,51245,6,6,0,0,0,3,4,0,0,0
10979192,1/7/2018,207037,3927,7,6,6,0,0,6,7,2,0,0
10979193,1/7/2018,3464,4560,6,6,0,0,0,4,1,0,0,0
10979194,1/7/2018,55282,52976,6,6,0,0,0,3,3,0,0,0
10979195,1/7/2018,34191,3901,6,7,0,0,0,3,6,0,0,0
10979196,1/7/2018,3868,943670,7,7,0,0,0,6,5,0,0,0
10979198,1/7/2018,3659,4441,6,6,0,0,0,0,3,0,0,0
10979199,1/7/2018,3878,3761,6,7,0,0,0,2,6,0,0,0
10979200,1/7/2018,52337,4151,5,6,7,0,0,7,4,5,0,0
10979201,1/7/2018,3915,3605,6,6,7,0,0,7,3,6,0,0
10979202,1/7/2018,3871,28718,6,6,0,0,0,4,3,0,0,0
10979203,1/7/2018,207037,3741,4,6,6,0,0,6,3,4,0,0
10979204,1/7/2018,3464,206796,6,7,0,0,0,3,6,0,0,0
10979205,1/7/2018,34191,55282,6,6,0,0,0,4,4,0,0,0
10979206,1/7/2018,3868,298703,3,7,7,0,0,6,6,5,0,0
10979207,1/7/2018,3499,3659,6,6,7,0,0,4,7,6,0,0
10979208,1/7/2018,3878,52337,7,7,0,0,0,5,6,0,0,0
10979210,1/7/2018,3871,207037,6,6,0,0,0,3,2,0,0,0
10979211,1/7/2018,3464,34191,6,6,0,0,0,2,3,0,0,0
10979212,1/7/2018,3499,3868,7,2,6,0,0,5,6,3,0,0
10979213,1/7/2018,3695,3878,6,6,6,0,0,7,4,2,0,0
10979214,1/7/2018,3464,3871,1,6,6,0,0,6,3,2,0,0
10979215,1/7/2018,3695,3499,6,7,6,0,0,7,6,1,0,0
10979216,1/7/2018,3464,3695,7,6,0,0,0,6,2,0,0,0
10979217,1/7/2018,3680,53374,5,6,6,0,0,7,4,4,0,0
10979218,1/7/2018,3482,3734,6,6,0,0,0,4,4,0,0,0
10979219,1/7/2018,9997,204410,6,6,0,0,0,4,3,0,0,0
10979220,1/7/2018,49954,4169,6,6,0,0,0,4,4,0,0,0
10979221,1/7/2018,3981,28097,6,6,0,0,0,3,3,0,0,0
10979222,1/7/2018,4957,95506,6,6,0,0,0,4,1,0,0,0
10979224,1/7/2018,95375,4464,6,3,6,0,0,4,6,3,0,0
10979226,1/7/2018,3766,66480,6,4,7,0,0,4,6,6,0,0
10979228,1/7/2018,196974,49955,6,7,7,0,0,7,6,5,0,0
10979230,1/7/2018,55849,49875,4,7,7,0,0,6,6,5,0,0
10979232,1/7/2018,54228,67610,6,6,6,0,0,4,7,2,0,0
10979234,1/7/2018,50772,3460,3,7,7,0,0,6,5,5,0,0
10979236,1/7/2018,3597,151401,6,6,0,0,0,4,4,0,0,0
10979238,1/7/2018,4726,5055,7,6,0,0,0,6,3,0,0,0
10979240,1/7/2018,4445,28094,6,6,0,0,0,3,4,0,0,0
10979242,1/7/2018,58228,3713,6,5,6,0,0,3,7,4,0,0
10979244,1/7/2018,3680,3482,6,6,0,0,0,2,0,0,0,0
10979246,1/7/2018,9997,49954,6,3,6,0,0,2,6,2,0,0
10979248,1/7/2018,4957,3981,6,6,6,0,0,4,7,4,0,0
10979250,1/7/2018,3766,95375,6,4,6,0,0,4,6,1,0,0
10979252,1/7/2018,196974,55849,7,7,0,0,0,6,6,0,0,0
10979253,1/7/2018,54228,50772,6,6,0,0,0,3,3,0,0,0
10979254,1/7/2018,4726,3597,6,6,0,0,0,4,4,0,0,0
10979255,1/7/2018,4445,58228,6,6,0,0,0,4,3,0,0,0
10979256,1/7/2018,9997,3680,6,7,7,0,0,7,5,6,0,0
10979257,1/7/2018,4957,3766,6,7,0,0,0,4,5,0,0,0
10979258,1/7/2018,196974,54228,7,5,6,0,0,6,7,4,0,0
10979259,1/7/2018,4726,4445,6,6,0,0,0,3,3,0,0,0
10979260,1/7/2018,9997,4957,6,7,0,0,0,3,6,0,0,0
10979261,1/7/2018,4726,196974,7,6,0,0,0,6,3,0,0,0
10979262,1/7/2018,4726,9997,6,6,0,0,0,4,2,0,0,0
10979437,1/7/2018,76845,85308,6,6,0,0,0,3,1,0,0,0
10979441,1/7/2018,960543,45637,6,6,0,0,0,2,3,0,0,0
